모델,주분석대상_소규모공립_정책2026,MAE,중앙절대오차,학교수,학교구분
비선형 Random Forest,False,2.2138241422739307,1.7202569479540077,204,그 외 204개교
비선형 Random Forest,True,1.2609468217702997,0.9949343171126266,92,소규모학교 92개교
평균 기준,False,12.177919432630379,8.23674998212115,204,그 외 204개교
평균 기준,True,17.552105643032377,18.23955785596796,92,소규모학교 92개교
학급수 선형,False,2.0818890829078787,1.642629206632261,204,그 외 204개교
학급수 선형,True,1.1218857879895618,0.8209620411995724,92,소규모학교 92개교
학급수+학생 선형,False,2.096056099811216,1.6302982018535808,204,그 외 204개교
학급수+학생 선형,True,1.1202918029828832,0.8135863199581612,92,소규모학교 92개교
확장 Ridge,False,2.120825715806846,1.7458540170277423,204,그 외 204개교
확장 Ridge,True,1.166680049387437,0.915427107081844,92,소규모학교 92개교
