모델,MAE,MAE_SD,RMSE,RMSE_SD,R2,R2_SD
학급수 선형,1.7846935221700462,0.16243497985112768,2.338525333361841,0.2505425324191103,0.9802636030978894,0.005146272644977993
학급수+학생 선형,1.7959246520058236,0.16129426640328465,2.3451358493122196,0.2509611756489911,0.9801630203226753,0.005138813059364407
확장 Ridge,1.849119511452638,0.18304559793935526,2.404859372788857,0.24860785641683414,0.9790903670860351,0.005474771671468844
비선형 Random Forest,1.9534006179749144,0.17532674602020382,2.602556154163913,0.233031901627915,0.9756350726616099,0.005590197677649049
평균 기준,13.849385325037545,1.2618944096935998,17.06215581250258,1.741878528561796,-0.018610879641438257,0.02833390677305255
