비교모델,학급수선형대비_MAE개선,개선_95CI_하한,개선_95CI_상한
학급수+학생 선형,-0.009268327120494541,-0.01717044724435017,-0.0012749588184866021
확장 Ridge,-0.04075724716214122,-0.1158032999578665,0.03576712623956608
비선형 Random Forest,-0.13414988925169735,-0.2579708237954179,-0.009570772980487956
