학교코드(KEDI),학교명_20251001,학교점_통학구역포함,학교점_통학구역거리_m
215021262,덕상초등학교,True,0.0
215021267,명호초등학교,True,0.0
215021271,덕성초등학교,True,0.0
215021274,덕양초등학교,True,0.0
215021280,덕천초등학교,True,0.0
215021289,덕포초등학교,True,0.0
215021292,동궁초등학교,True,0.0
215021298,동주초등학교,True,0.0
215021307,만덕초등학교,True,0.0
215021316,명덕초등학교,True,0.0
215021325,명지초등학교,True,0.0
215021326,명진초등학교,True,0.0
215021334,모덕초등학교,True,0.0
215021343,모동초등학교,True,0.0
215021352,모라초등학교,True,0.0
215021361,모산초등학교,True,0.0
215021369,명원초등학교,True,0.0
215021370,배영초등학교,True,0.0
215021379,백산초등학교,True,0.0
215021388,백양초등학교,True,0.0
215021397,사상초등학교,True,0.0
215021415,삼덕초등학교,True,0.0
215021428,상학초등학교,True,0.0
215021433,서감초등학교,True,0.0
215021460,신금초등학교,True,0.0
215021462,신덕초등학교,True,0.0
215021465,신천초등학교,True,0.0
215021469,신호초등학교,True,0.0
215021478,양덕초등학교,True,0.0
215021487,양천초등학교,True,0.0
215021496,엄궁초등학교,True,0.0
215021501,주양초등학교,True,0.0
215021502,용수초등학교,True,0.0
215021505,주감초등학교,True,0.0
215021514,주학초등학교,True,0.0
215021519,창진초등학교,True,0.0
215021523,천가초등학교,True,0.0
215021532,포천초등학교,True,0.0
215021538,학사초등학교,True,0.0
215021541,학장초등학교,True,0.0
215021550,학진초등학교,True,0.0
215021559,화명초등학교,True,0.0
215021565,화잠초등학교,True,0.0
215021828,대저중앙초등학교,True,0.0
215021853,명문초등학교,True,0.0
215021878,남명초등학교,True,0.0
215021879,화정초등학교,True,0.0
216021021,반안초등학교,True,0.0
216021112,강동초등학교,True,0.0
216021115,방곡초등학교,True,0.0
216021124,광남초등학교,True,0.0
216021131,가동초등학교,True,0.0
216021136,광안초등학교,True,0.0
216021148,기장초등학교,True,0.0
216021160,남천초등학교,True,0.0
216021172,용암초등학교,True,0.0
216021178,대청초등학교,True,0.0
216021184,동백초등학교,True,0.0
216021185,해원초등학교,True,0.0
216021196,망미초등학교,True,0.0
216021200,무정초등학교,True,0.0
216021208,민락초등학교,True,0.0
216021216,교리초등학교,True,0.0
216021220,민안초등학교,True,0.0
216021232,반산초등학교,True,0.0
216021238,반석초등학교,True,0.0
216021241,내리초등학교,True,0.0
216021242,신정초등학교,True,0.0
216021244,반송초등학교,True,0.0
216021256,반여초등학교,True,0.0
216021262,부흥초등학교,True,0.0
216021268,배산초등학교,True,0.0
216021272,상당초등학교,True,0.0
216021280,송운초등학교,True,0.0
216021292,송정초등학교,True,0.0
216021304,수미초등학교,True,0.0
216021310,해빛초등학교,True,0.0
216021316,수영초등학교,True,0.0
216021322,신곡초등학교,True,0.0
216021325,신도초등학교,True,0.0
216021328,신재초등학교,True,0.0
216021340,신진초등학교,True,0.0
216021346,양운초등학교,True,0.0
216021352,운봉초등학교,True,0.0
216021364,운송초등학교,True,0.0
216021367,일광초등학교,True,0.0
216021376,월내초등학교,True,0.0
