학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,일반학생수_20250401_1학년,일반학급수_20250401_1학년,특수학생수_20250401_1학년,특수학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,일반학생수_20250401_2학년,일반학급수_20250401_2학년,특수학생수_20250401_2학년,특수학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,일반학생수_20250401_3학년,일반학급수_20250401_3학년,특수학생수_20250401_3학년,특수학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,일반학생수_20250401_4학년,일반학급수_20250401_4학년,특수학생수_20250401_4학년,특수학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,일반학생수_20250401_5학년,일반학급수_20250401_5학년,특수학생수_20250401_5학년,특수학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,일반학생수_20250401_6학년,일반학급수_20250401_6학년,특수학생수_20250401_6학년,특수학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,일반학생수_20250401_반합계,일반학급수_20250401_반합계,특수학생수_20250401_반합계,특수학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
214021181,금성초등학교,금정구,공립,특별/광역시,부산광역시 금정구 중리1길 15(금성동),43,7,15,6.1,2.9,240,True,True,True,2.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,39.0,7.0,38.0,6.0,1.0,1.0,20250401,39,7,7967,204.3,7,0,2,0,3,12,5.571428571428571,3.25,6.142857142857143,2.8666666666666667
214021253,동상초등학교,금정구,공립,특별/광역시,부산광역시 금정구 옥봉로 5(서동. 동상초등학교),100,7,12,14.3,8.3,240,True,True,True,10.0,1.0,10.0,1.0,0.0,0.0,16.0,1.0,16.0,1.0,0.0,0.0,15.0,2.0,12.0,1.0,3.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,19.0,1.0,19.0,1.0,0.0,0.0,100.0,7.0,97.0,6.0,3.0,1.0,20250401,100,7,12405,124.1,11,3,4,0,10,28,9.090909090909092,3.5714285714285716,14.285714285714286,8.333333333333334
214021024,서동초등학교,금정구,공립,특별/광역시,부산광역시 금정구 동현로 147(서동. 서동초등학교),62,7,14,8.9,4.4,240,True,True,True,7.0,1.0,7.0,1.0,0.0,0.0,16.0,2.0,15.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,63.0,7.0,62.0,6.0,1.0,1.0,20250401,63,7,21342,338.8,7,8,6,0,2,23,9.0,2.739130434782609,8.857142857142858,4.428571428571429
214021352,서명초등학교,금정구,공립,특별/광역시,부산광역시 금정구 명서로 48(서동),36,7,14,5.1,2.6,240,True,True,True,3.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,9.0,2.0,3.0,1.0,6.0,1.0,9.0,1.0,9.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,37.0,7.0,31.0,6.0,6.0,1.0,20250401,37,7,11917,322.1,10,2,6,0,1,19,3.7,1.9473684210526316,5.142857142857143,2.5714285714285716
214021532,현곡초등학교,금정구,공립,특별/광역시,부산광역시 금정구 동부곡로27번라길 20(부곡동. 현곡초등학교),86,7,13,12.3,6.6,240,True,True,True,14.0,2.0,10.0,1.0,4.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,86.0,7.0,82.0,6.0,4.0,1.0,20250401,86,7,14551,169.2,7,1,2,0,1,11,12.285714285714286,7.818181818181818,12.285714285714286,6.615384615384615
216021172,용암초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 기장해안로 577. 용암초등학교 (기장읍),68,7,14,9.7,4.9,120,True,True,True,7.0,1.0,7.0,1.0,0.0,0.0,17.0,1.0,17.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,10.0,2.0,7.0,1.0,3.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,70.0,7.0,67.0,6.0,3.0,1.0,20250401,70,7,8975,128.2,8,0,2,0,2,12,8.75,5.833333333333333,9.714285714285714,4.857142857142857
216021388,월평초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 월평1길 21(정관읍. 월평초등학교),53,7,14,7.6,3.8,120,True,True,True,10.0,2.0,5.0,1.0,5.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,9.0,1.0,9.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,55.0,7.0,50.0,6.0,5.0,1.0,20250401,55,7,9622,174.9,8,0,3,0,0,11,6.875,5.0,7.571428571428571,3.7857142857142856
216021424,장안초등학교,기장군,공립,읍지역,부산광역시 기장군 장안읍 장안로 67-4(장안읍.장안초등학교),58,6,14,9.7,4.1,120,True,True,True,4.0,1.0,4.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,9.0,1.0,9.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,58.0,6.0,58.0,6.0,0.0,0.0,20250401,58,6,7448,128.4,7,0,4,0,1,12,8.285714285714286,4.833333333333333,9.666666666666666,4.142857142857143
216021484,좌천초등학교,기장군,공립,읍지역,부산광역시 기장군 장안읍 좌천로 13-66. 좌천초등학교 (장안읍),37,7,14,5.3,2.6,120,True,True,True,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,8.0,1.0,0.0,0.0,13.0,2.0,9.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,0.0,0.0,8.0,1.0,8.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,39.0,7.0,35.0,6.0,4.0,1.0,20250401,39,7,13112,336.2,10,0,2,0,0,12,3.9,3.25,5.285714285714286,2.642857142857143
216021496,죽성초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 죽성로 270(기장읍. 죽성초등학교),71,7,12,10.1,5.9,120,True,True,True,10.0,1.0,10.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,22.0,2.0,16.0,1.0,6.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,73.0,7.0,67.0,6.0,6.0,1.0,20250401,73,7,8033,110.0,6,0,2,1,2,11,12.166666666666666,6.636363636363637,10.142857142857142,5.916666666666667
