학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
215021267,명호초등학교,강서구,공립,특별/광역시,부산광역시 강서구 명지오션시티2로 41(명지동. 명호초등학교),1369,56,76,24.4,18.0,240,False,True,False,164.0,7.0,183.0,8.0,234.0,9.0,276.0,11.0,267.0,11.0,260.0,10.0,1384.0,56.0,20250401,1384,56,13200,9.5,64,0,3,0,0,67,21.625,20.65671641791045,24.446428571428573,18.013157894736842
215021370,배영초등학교,강서구,공립,특별/광역시,부산광역시 강서구 공항로339번길 260. 배영초등학교 (대저2동),39,7,13,5.6,3.0,240,True,True,True,1.0,1.0,7.0,2.0,4.0,1.0,4.0,1.0,10.0,1.0,11.0,1.0,37.0,7.0,20250401,37,7,5609,151.6,7,1,2,0,0,10,5.285714285714286,3.7,5.571428571428571,3.0
215021167,송정초등학교,강서구,공립,특별/광역시,부산광역시 강서구 신호사로 10(신호동),693,35,49,19.8,14.1,240,False,True,False,100.0,5.0,111.0,5.0,120.0,6.0,147.0,7.0,131.0,7.0,121.0,5.0,730.0,35.0,20250401,730,35,13915,19.1,36,2,6,0,0,44,20.27777777777778,16.59090909090909,19.8,14.142857142857142
215021166,신명초등학교,강서구,공립,특별/광역시,부산광역시 강서구 명지국제7로 178(명지동),1086,49,72,22.2,15.1,240,False,True,False,168.0,7.0,144.0,6.0,181.0,8.0,210.0,10.0,183.0,8.0,206.0,10.0,1092.0,49.0,20250401,1092,49,13928,12.8,51,1,2,1,0,55,21.41176470588235,19.854545454545455,22.163265306122447,15.083333333333334
215021469,신호초등학교,강서구,공립,특별/광역시,부산광역시 강서구 신호이로75번길 12(신호동),410,21,33,19.5,12.4,240,False,True,False,47.0,2.0,66.0,4.0,82.0,4.0,73.0,3.0,89.0,4.0,78.0,4.0,435.0,21.0,20250401,435,21,11992,27.6,34,2,7,0,4,47,12.794117647058824,9.25531914893617,19.523809523809526,12.424242424242424
215021114,오션초등학교,강서구,공립,특별/광역시,부산광역시 강서구 명지오션시티6로 72(명지동),1010,46,65,22.0,15.5,240,False,True,False,147.0,7.0,129.0,6.0,166.0,7.0,212.0,9.0,189.0,9.0,183.0,8.0,1026.0,46.0,20250401,1026,46,13000,12.7,48,0,6,0,0,54,21.375,19.0,21.956521739130434,15.538461538461538
215021523,천가초등학교,강서구,공립,특별/광역시,부산광역시 강서구 동선길 135(성북동),60,7,14,8.6,4.3,240,True,True,True,7.0,1.0,5.0,1.0,14.0,1.0,10.0,1.0,10.0,1.0,18.0,2.0,64.0,7.0,20250401,64,7,9233,144.3,7,0,4,0,1,12,9.142857142857142,5.333333333333333,8.571428571428571,4.285714285714286
214021127,공덕초등학교,금정구,공립,특별/광역시,부산광역시 금정구 대두로 2(두구동.공덕초등학교),42,7,15,6.0,2.8,240,True,True,True,4.0,2.0,5.0,1.0,11.0,1.0,14.0,1.0,7.0,1.0,4.0,1.0,45.0,7.0,20250401,45,7,8404,186.8,8,1,2,0,0,11,5.625,4.090909090909091,6.0,2.8
214021401,구서초등학교,금정구,공립,특별/광역시,부산광역시 금정구 구서중앙로 35(구서동) 구서초등학교,467,23,37,20.3,12.6,240,False,True,False,45.0,3.0,63.0,4.0,72.0,3.0,104.0,5.0,86.0,4.0,93.0,4.0,463.0,23.0,20250401,463,23,17704,38.2,23,4,10,0,4,41,20.130434782608695,11.292682926829269,20.304347826086957,12.621621621621621
214021180,금빛초등학교,금정구,공립,특별/광역시,부산광역시 금정구 소정로 31(장전동. 금빛초등학교),693,32,44,21.7,15.8,240,False,True,False,93.0,4.0,120.0,6.0,106.0,5.0,131.0,6.0,112.0,5.0,124.0,6.0,686.0,32.0,20250401,686,32,9900,14.4,32,2,3,0,0,37,21.4375,18.54054054054054,21.65625,15.75
214021172,금사초등학교,금정구,공립,특별/광역시,부산광역시 금정구 금사로57번길 24서동. 금사초등학교,268,16,21,16.8,12.8,240,False,True,False,41.0,3.0,38.0,2.0,41.0,2.0,60.0,3.0,38.0,2.0,62.0,4.0,280.0,16.0,20250401,280,16,10856,38.8,20,2,5,0,0,27,14.0,10.37037037037037,16.75,12.761904761904763
214021185,금샘초등학교,금정구,공립,특별/광역시,부산광역시 금정구 금샘로 525(남산동. 금샘초등학교),151,11,19,13.7,7.9,240,True,True,True,16.0,1.0,26.0,2.0,31.0,3.0,30.0,2.0,21.0,1.0,27.0,2.0,151.0,11.0,20250401,151,11,13569,89.9,15,2,11,5,8,41,10.066666666666666,3.682926829268293,13.727272727272727,7.947368421052632
214021181,금성초등학교,금정구,공립,특별/광역시,부산광역시 금정구 중리1길 15(금성동),43,7,15,6.1,2.9,240,True,True,True,2.0,1.0,10.0,1.0,2.0,2.0,11.0,1.0,4.0,1.0,10.0,1.0,39.0,7.0,20250401,39,7,7967,204.3,7,0,2,0,3,12,5.571428571428571,3.25,6.142857142857143,2.8666666666666667
214021195,금양초등학교,금정구,공립,특별/광역시,부산광역시 금정구 중앙대로 1755(부곡동),658,33,45,19.9,14.6,240,False,True,False,84.0,4.0,89.0,5.0,118.0,7.0,107.0,5.0,131.0,6.0,135.0,6.0,664.0,33.0,20250401,664,33,6626,10.0,36,1,4,0,1,42,18.444444444444443,15.80952380952381,19.939393939393938,14.622222222222222
214021190,금정초등학교,금정구,공립,특별/광역시,부산광역시 금정구 식물원로44번길 46.금정초등학교 (장전동. 금정초등학교.금정유치원),1298,54,71,24.0,18.3,240,False,True,False,227.0,10.0,206.0,8.0,216.0,9.0,241.0,10.0,211.0,8.0,199.0,9.0,1300.0,54.0,20250401,1300,54,38630,29.7,39,0,7,0,0,46,33.333333333333336,28.26086956521739,24.037037037037038,18.281690140845072
214021208,남산초등학교,금정구,공립,특별/광역시,부산광역시 금정구 금강로 614(남산동. 남산초등학교),358,18,28,19.9,12.8,240,False,True,False,36.0,2.0,48.0,2.0,59.0,3.0,58.0,3.0,82.0,4.0,75.0,4.0,358.0,18.0,20250401,358,18,11534,32.2,20,3,9,0,0,32,17.9,11.1875,19.88888888888889,12.785714285714286
214021253,동상초등학교,금정구,공립,특별/광역시,부산광역시 금정구 옥봉로 5(서동. 동상초등학교),100,7,12,14.3,8.3,240,True,True,True,10.0,1.0,16.0,1.0,15.0,2.0,20.0,1.0,20.0,1.0,19.0,1.0,100.0,7.0,20250401,100,7,12405,124.1,11,3,4,0,10,28,9.090909090909092,3.5714285714285716,14.285714285714286,8.333333333333334
214021262,동현초등학교,금정구,공립,특별/광역시,부산광역시 금정구 동현로 36(부곡동. 동현초등학교),289,16,24,18.1,12.0,240,False,True,False,41.0,2.0,44.0,3.0,54.0,3.0,40.0,2.0,57.0,3.0,53.0,3.0,289.0,16.0,20250401,289,16,16130,55.8,19,4,6,0,4,33,15.210526315789474,8.757575757575758,18.0625,12.041666666666666
214021543,두실초등학교,금정구,공립,특별/광역시,부산광역시 금정구 중앙대로1893번길 33(구서동. 두실초등학교),759,32,48,23.7,15.8,240,False,True,False,88.0,4.0,132.0,5.0,132.0,5.0,132.0,6.0,129.0,6.0,147.0,6.0,760.0,32.0,20250401,760,32,9623,12.7,32,5,14,0,0,51,23.75,14.901960784313726,23.71875,15.8125
214021316,부곡초등학교,금정구,공립,특별/광역시,부산광역시 금정구 기찰로22번길 15(부곡동),445,21,31,21.2,14.4,240,False,True,False,64.0,3.0,75.0,4.0,72.0,4.0,81.0,4.0,73.0,3.0,73.0,3.0,438.0,21.0,20250401,438,21,17289,39.5,27,4,6,0,0,37,16.22222222222222,11.837837837837839,21.19047619047619,14.35483870967742
214021024,서동초등학교,금정구,공립,특별/광역시,부산광역시 금정구 동현로 147(서동. 서동초등학교),62,7,14,8.9,4.4,240,True,True,True,7.0,1.0,16.0,2.0,7.0,1.0,12.0,1.0,14.0,1.0,7.0,1.0,63.0,7.0,20250401,63,7,21342,338.8,7,8,6,0,2,23,9.0,2.739130434782609,8.857142857142858,4.428571428571429
214021352,서명초등학교,금정구,공립,특별/광역시,부산광역시 금정구 명서로 48(서동),36,7,14,5.1,2.6,240,True,True,True,3.0,1.0,4.0,1.0,9.0,2.0,9.0,1.0,2.0,1.0,10.0,1.0,37.0,7.0,20250401,37,7,11917,322.1,10,2,6,0,1,19,3.7,1.9473684210526316,5.142857142857143,2.5714285714285716
214021478,장서초등학교,금정구,공립,특별/광역시,부산광역시 금정구 금강로 453번길 26-7. 장서초등학교 (구서동),571,26,39,22.0,14.6,240,False,True,False,62.0,3.0,87.0,4.0,91.0,5.0,118.0,5.0,111.0,5.0,98.0,4.0,567.0,26.0,20250401,567,26,11587,20.4,26,1,6,0,6,39,21.807692307692307,14.538461538461538,21.96153846153846,14.64102564102564
