소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
214021253,동상초등학교,금정구,100,216021200,무정초등학교,해운대구,504,21.0,False,2.11632,학교점 간 직선거리 3km 이하,19
214021253,동상초등학교,금정구,100,214021199,낙민초등학교,동래구,589,21.035714285714285,False,2.147329,학교점 간 직선거리 3km 이하,20
214021253,동상초등학교,금정구,100,214021370,안남초등학교,동래구,732,22.875,False,2.17637,학교점 간 직선거리 3km 이하,21
214021253,동상초등학교,금정구,100,214021280,명륜초등학교,동래구,1110,25.227272727272727,False,2.187495,학교점 간 직선거리 3km 이하,22
214021253,동상초등학교,금정구,100,214021384,안민초등학교,동래구,615,21.964285714285715,False,2.261154,학교점 간 직선거리 3km 이하,23
214021253,동상초등학교,금정구,100,216021256,반여초등학교,해운대구,161,12.384615384615385,True,2.261371,학교점 간 직선거리 3km 이하,24
214021253,동상초등학교,금정구,100,214021471,연신초등학교,연제구,578,20.642857142857142,False,2.437543,학교점 간 직선거리 3km 이하,25
214021253,동상초등학교,금정구,100,216021328,신재초등학교,해운대구,303,17.823529411764707,False,2.603389,학교점 간 직선거리 3km 이하,26
214021253,동상초등학교,금정구,100,216021570,송수초등학교,해운대구,850,22.36842105263158,False,2.628368,학교점 간 직선거리 3km 이하,27
214021253,동상초등학교,금정구,100,214021361,수안초등학교,동래구,166,13.833333333333334,True,2.698613,학교점 간 직선거리 3km 이하,28
214021253,동상초등학교,금정구,100,214021190,금정초등학교,금정구,1298,24.037037037037038,False,2.735269,학교점 간 직선거리 3km 이하,29
214021253,동상초등학교,금정구,100,214021159,과정초등학교,연제구,425,20.238095238095237,False,2.744561,학교점 간 직선거리 3km 이하,30
214021253,동상초등학교,금정구,100,214021217,내산초등학교,동래구,215,16.53846153846154,True,2.796112,학교점 간 직선거리 3km 이하,31
214021253,동상초등학교,금정구,100,214021316,부곡초등학교,금정구,445,21.19047619047619,False,2.822755,학교점 간 직선거리 3km 이하,32
214021253,동상초등학교,금정구,100,214021481,연천초등학교,연제구,583,21.59259259259259,False,2.845358,학교점 간 직선거리 3km 이하,33
