학교코드(KEDI),학교명_20251001,행정구_20251001,제외사유
215021127,괘법초등학교,사상구,2026 위치표준데이터에서 학교명+행정구 조인 실패
212021380,신선초등학교,영도구,2026 위치표준데이터에서 학교명+행정구 조인 실패
